cust_id,lookalikes
C0001,"[('C0184', 0.9997715277163312), ('C0048', 0.9995332182193393), ('C0190', 0.9988159371974233)]"
C0002,"[('C0088', 0.99984593565276), ('C0092', 0.9972900794278549), ('C0106', 0.9957774732613716)]"
C0003,"[('C0076', 0.9977575893729745), ('C0052', 0.9963510422784689), ('C0031', 0.995499750043673)]"
C0004,"[('C0169', 0.9978038040040306), ('C0087', 0.9974442735481928), ('C0155', 0.9938780315645294)]"
C0005,"[('C0186', 0.9998420404059932), ('C0146', 0.9991711960857046), ('C0007', 0.9991512480642762)]"
C0006,"[('C0126', 0.9996118645056205), ('C0187', 0.9994844250663515), ('C0011', 0.9992885999027596)]"
C0007,"[('C0146', 0.9999998323693368), ('C0115', 0.9993681466864066), ('C0005', 0.9991512480642762)]"
C0008,"[('C0160', 0.9905422274011596), ('C0059', 0.9885560878734554), ('C0079', 0.9875084535522165)]"
C0009,"[('C0198', 0.9999972410802239), ('C0061', 0.9944130857758606), ('C0062', 0.9925389989107)]"
C0010,"[('C0111', 0.9964431632741196), ('C0062', 0.9962102864521118), ('C0103', 0.992799166283457)]"
C0011,"[('C0006', 0.9992885999027596), ('C0137', 0.9988763368556339), ('C0126', 0.9987329290204422)]"
C0012,"[('C0163', 0.9995437048897474), ('C0113', 0.9980417987323469), ('C0195', 0.9971734358530017)]"
C0013,"[('C0099', 0.9980808806093808), ('C0108', 0.9974410788472328), ('C0107', 0.98484798043331)]"
C0014,"[('C0060', 0.9998756502898258), ('C0089', 0.9829824497026451), ('C0172', 0.976630126590946)]"
C0015,"[('C0131', 0.9964314311554922), ('C0036', 0.9949166044315365), ('C0094', 0.9937473549221725)]"
C0016,"[('C0183', 0.9991066832400675), ('C0067', 0.9965096479176901), ('C0098', 0.9953112731146151)]"
C0017,"[('C0041', 0.9968659869116038), ('C0057', 0.9955238787391981), ('C0075', 0.9921682886158518)]"
C0018,"[('C0122', 0.9996419246188354), ('C0046', 0.998794857529312), ('C0194', 0.995798263070248)]"
C0019,"[('C0073', 0.9997393465655517), ('C0070', 0.9980634629767802), ('C0135', 0.9979086497383173)]"
C0020,"[('C0157', 0.9859729147573683), ('C0050', 0.984213591900306), ('C0035', 0.9822407020903572)]"
